primemover,fuel,fuel.general,tech
CT,NG,gas,gas (cc)
CA,NG,gas,gas (cc)
CS,NG,gas,gas (cc)
CW,NG,gas,gas (cc)
CC,NG,gas,gas (cc)
CT,OBG,gas,gas (cc)
CT,LFG,gas,gas (cc)
CA,LFG,gas,gas (cc)
CA,OBG,gas,gas (cc)
CA,SGC,gas,gas (cc)
CT,SGC,gas,gas (cc)
CA,SG,gas,gas (cc)
CT,SG,gas,gas (cc)
CA,SGP,gas,gas (cc)
CT,SGP,gas,gas (cc)
GT,NG,gas,gas (ct)
IC,NG,gas,gas (ct)
JE,NG,gas,gas (ct)
IC,MTE,gas,gas (ct)
IC,LFG,gas,gas (ct)
IC,OBG,gas,gas (ct)
GT,LFG,gas,gas (ct)
GT,OBG,gas,gas (ct)
IG,SNG,gas,gas (igcc)
OT,LFG,gas,gas (other)
OT,NG,gas,gas (other)
ST,NG,gas,gas (steam)
ST,SNG,gas,gas (steam)
CH,NG,gas,gas (steam)
ST,LFG,gas,gas (steam)
ST,OBG,gas,gas (steam)
FC,NG,gas,gas (storage)
CE,NG,gas,gas (storage)
FC,OBG,gas,gas (storage)
FC,LFG,gas,gas (storage)
CG,NG,gas,gas (undef)
BT,GEO,geothermal,geothermal (binary)
OT,GEO,geothermal,geothermal (other)
GE,GST,geothermal,geothermal (steam)
ST,GEO,geothermal,geothermal (steam)
NP,UR,nuclear,nuclear (steam)
NB,UR,nuclear,nuclear (steam)
ST,NUC,nuclear,nuclear (steam)
CT,FO2,refined liquids,refined liquids (cc)
CA,FO2,refined liquids,refined liquids (cc)
CW,FO2,refined liquids,refined liquids (cc)
CA,FO6,refined liquids,refined liquids (cc)
CT,DFO,refined liquids,refined liquids (cc)
CA,RFO,refined liquids,refined liquids (cc)
CA,DFO,refined liquids,refined liquids (cc)
CT,WO,refined liquids,refined liquids (cc)
CS,DFO,refined liquids,refined liquids (cc)
CT,RFO,refined liquids,refined liquids (cc)
CA,WO,refined liquids,refined liquids (cc)
CT,JF,refined liquids,refined liquids (cc)
CA,JF,refined liquids,refined liquids (cc)
IC,FO2,refined liquids,refined liquids (ct)
GT,FO2,refined liquids,refined liquids (ct)
IC,FO6,refined liquids,refined liquids (ct)
IC,FO1,refined liquids,refined liquids (ct)
GT,KER,refined liquids,refined liquids (ct)
GT,FO1,refined liquids,refined liquids (ct)
GT,JF,refined liquids,refined liquids (ct)
JE,FO2,refined liquids,refined liquids (ct)
JE,JF,refined liquids,refined liquids (ct)
IC,FO4,refined liquids,refined liquids (ct)
GT,FO4,refined liquids,refined liquids (ct)
IC,FO5,refined liquids,refined liquids (ct)
JE,FO1,refined liquids,refined liquids (ct)
JE,KER,refined liquids,refined liquids (ct)
GT,FO6,refined liquids,refined liquids (ct)
IC,DFO,refined liquids,refined liquids (ct)
GT,DFO,refined liquids,refined liquids (ct)
IC,RFO,refined liquids,refined liquids (ct)
GT,RFO,refined liquids,refined liquids (ct)
GT,WO,refined liquids,refined liquids (ct)
IC,WO,refined liquids,refined liquids (ct)
IC,OBL,refined liquids,refined liquids (ct)
IC,JF,refined liquids,refined liquids (ct)
GT,OBL,refined liquids,refined liquids (ct)
GT,PG,refined liquids,refined liquids (ct)
OT,JF,refined liquids,refined liquids (other)
OT,KER,refined liquids,refined liquids (other)
ST,FO2,refined liquids,refined liquids (steam)
ST,FO6,refined liquids,refined liquids (steam)
ST,FO4,refined liquids,refined liquids (steam)
ST,FO1,refined liquids,refined liquids (steam)
ST,DFO,refined liquids,refined liquids (steam)
ST,RFO,refined liquids,refined liquids (steam)
ST,WO,refined liquids,refined liquids (steam)
OT,SUN,solar,solar (other)
SP,SUN,solar,solar (PV)
PV,SUN,solar,solar (PV)
ST,SUN,solar,solar (steam)
CP,SUN,solar,solar (storage)
HC,WAT,water,water (hydro)
HL,WAT,water,water (hydro)
HR,WAT,water,water (hydro)
HY,WAT,water,water (hydro)
PS,WAT,water,water (hydro)
WT,WND,wind,wind (wind)
WS,WND,wind,wind (wind)
